product_id,product_name,description,annotated_category
P001,Heavy Duty Drill Press,Industrial drill press for metal fabrication and precision boring operations in manufacturing,
P002,Wireless Ergonomic Keyboard,Compact Bluetooth keyboard for office use with multi-device pairing and quiet key switches,
P003,Laboratory Centrifuge 5000RPM,High-speed centrifuge for separating biological samples in pharmaceutical research environments,
P004,Safety Helmet Class E,Electrical-rated hard hat for construction site and high-voltage industrial environments,
P005,80gsm A4 Copy Paper Ream,Standard office copy paper suitable for all laser and inkjet printers,
P006,Industrial Air Compressor 100L,High-capacity air compressor for pneumatic tools and continuous industrial operations,
P007,Digital Oscilloscope 200MHz,Bench-top oscilloscope for electronics testing and waveform signal analysis,
P008,Office Mesh Ergonomic Chair,Mesh back office chair with lumbar support adjustable armrests and seat height control,
P009,Commercial Floor Scrubber,Electric floor scrubber for large-scale industrial and warehouse cleaning applications,
P010,Disposable Nitrile Gloves,100-count box of powder-free nitrile examination gloves for lab and industrial handling,
P011,17-inch Full HD Monitor,Energy-efficient LCD monitor with HDMI and VGA ports for office workstations,
P012,Heavy Duty Steel Workbench,Powder-coated steel workbench with storage drawers for workshop and garage environments,
P013,Electric Desktop Stapler,Automatic electric stapler with jam-proof mechanism for high-volume office document binding,
P014,Binocular Compound Microscope,1000x compound laboratory microscope with LED illumination for specimen and slide analysis,
P015,2U Rack Mount Server,Enterprise rack server with dual Xeon processors for data center and cloud infrastructure,
P016,Industrial Safety Harness,Full-body fall arrest harness with D-ring for construction and elevated work platforms,
P017,Whiteboard Marker Set,Assorted color dry-erase markers for office whiteboards and presentation boards,
P018,Rotary Evaporator 2L,Laboratory rotary evaporator for solvent removal and sample concentration in chemistry research,
P019,Heavy Duty Steel Shelving,5-tier powder-coated steel shelving unit for warehouse and industrial storage,
P020,Portable UPS 1500VA,Uninterruptible power supply with battery backup for office servers and critical equipment,
